1044	600	300	0
1641	900	100	1
1747	800	100	0
1771	600	0	1
1793	500	100	1
1837	900	0	0
1862	800	0	0
2027	800	200	0
2108	900	100	0
2351	700	200	1
1205	800	100	0
1342	700	0	0
1382	500	0	0
1424	500	200	0
1456	800	200	0
1119	600	0	0
1172	500	100	0
1215	800	200	0
1219	500	100	0
1266	700	0	0
1285	500	100	0
1303	800	100	0
1305	900	200	1
1496	600	0	0
1529	700	200	0
1604	900	0	0
1688	900	200	0
1733	600	200	1
1978	800	0	0
2026	900	0	0
2041	800	100	0
2091	700	300	1
2138	800	100	0
164	500	200	0
239	700	0	1
613	600	0	0
661	700	0	0
676	600	100	1
773	600	100	0
818	900	300	0
875	700	100	0
948	700	300	0
993	900	0	1
1080	800	100	0
2359	500	0	0
2385	500	300	0
2202	500	100	0
2385	500	0	0
49	400	0	0
116	500	0	0
259	500	200	0
259	600	200	0
291	700	0	1
296	800	0	1
366	600	300	0
525	500	200	0
1218	900	100	0
1341	800	100	0
1344	700	0	0
1414	600	0	0
1464	500	200	0
1481	700	0	1
1598	600	200	0
1624	700	200	0
1624	800	200	0
1656	900	0	0
1984	600	0	0
1991	500	100	0
2054	600	100	0
2078	800	100	0
558	800	0	1
606	700	100	1
618	800	300	0
625	900	100	0
689	400	100	0
713	600	100	0
836	900	100	1
860	600	300	1
868	900	300	0
876	500	300	1
916	600	200	1
1019	900	0	0
602	700	0	1
615	800	300	0
627	700	100	0
668	800	0	0
765	700	0	1
840	900	300	0
878	700	300	0
910	800	300	0
960	800	100	1
1094	900	100	0
1122	700	100	1
1216	900	200	0
1227	500	100	0
1289	800	0	0
1487	800	0	1
1524	700	0	1
1538	500	0	0
87	600	200	0
122	600	0	0
159	500	0	0
172	900	0	0
292	700	100	0
333	600	0	0
365	600	200	0
407	500	200	0
482	800	100	0
1657	900	100	1
1698	800	0	1
1730	800	200	0
1772	700	200	0
1810	600	200	0
1836	600	100	0
1896	600	200	0
1992	900	100	0
2130	900	0	1
1678	600	100	0
1749	900	200	0
1789	800	0	1
1845	500	200	0
2007	700	300	1
2059	800	300	1
2101	900	300	1
2160	600	100	0
2165	700	100	0
2397	600	300	0
552	700	100	1
644	800	100	0
790	800	200	0
795	400	100	0
800	500	100	0
821	700	200	0
1244	500	0	0
1248	900	0	0
1302	800	0	0
1379	900	0	0
1390	600	0	0
1446	800	100	0
1467	900	100	1
1533	900	0	1
1612	900	100	1
25	400	0	0
42	500	200	0
81	600	100	0
102	700	100	0
168	700	0	0
247	700	100	0
486	600	200	0
24	500	300	0
62	500	200	0
186	900	0	0
191	500	200	0
244	500	200	0
277	500	100	0
334	900	100	0
551	800	100	1
596	800	200	1
613	800	200	1
621	500	0	0
641	900	100	0
736	400	0	0
753	800	0	1
788	900	0	1
874	800	100	0
900	800	0	0
948	600	100	0
1062	500	100	1
1642	700	100	1
1700	500	100	1
1722	600	200	1
1986	700	0	0
2007	500	100	0
2101	600	0	0
2154	500	0	0
2313	800	100	0
1122	600	0	0
1192	700	200	0
1372	700	0	0
1523	600	100	1
1552	500	0	1
1556	700	200	0
1609	700	200	0
1098	500	300	0
1107	500	300	0
1276	900	200	1
1422	600	200	0
1497	600	100	1
1523	700	0	1
1646	700	100	1
1689	700	0	0
1706	500	100	1
2129	700	300	1
158	500	0	0
281	500	100	0
324	500	0	0
340	900	100	0
560	700	100	1
619	800	100	0
657	900	200	1
683	800	0	0
760	800	0	1
912	600	0	0
1040	700	0	0
1057	500	0	0
1064	500	100	1
2231	600	100	0
2277	800	0	0
2265	800	0	0
38	400	100	0
86	900	0	0
114	700	100	0
257	700	100	0
290	900	0	1
308	600	300	0
308	700	100	0
537	900	0	1
1179	900	200	0
1317	900	200	1
1322	700	0	0
1403	600	100	0
1439	800	0	0
1452	500	0	0
1479	900	100	1
1622	900	100	1
1656	500	0	0
1673	900	100	1
1788	800	200	0
1815	600	0	0
1821	600	0	0
1882	600	100	0
1903	500	0	0
1949	600	100	1
2087	700	0	1
2108	600	100	1
2179	700	100	0
722	500	0	0
743	400	100	0
814	500	100	1
900	600	0	0
645	700	100	0
659	800	0	0
667	800	300	0
717	800	0	1
742	800	0	1
763	600	200	0
785	600	200	0
865	600	100	0
871	700	300	0
1077	700	0	0
1115	700	0	0
1116	900	100	1
1142	700	100	1
1229	900	0	0
1251	500	100	0
1417	500	0	0
1505	800	200	0
1584	500	200	0
2230	800	100	0
51	900	0	0
140	600	200	0
243	800	100	0
310	600	200	0
384	600	100	0
404	800	100	0
1675	800	200	0
1749	800	100	0
1807	500	200	0
2010	900	100	0
1689	700	200	0
1722	800	200	0
1729	800	0	1
1751	500	0	1
1897	700	0	0
1999	900	100	0
2023	500	100	0
2047	600	0	0
2228	500	100	0
600	800	100	1
634	700	100	0
657	900	100	0
760	700	200	0
793	500	200	0
858	800	0	0
862	900	100	0
1074	600	0	0
1220	600	100	0
1248	900	100	0
1258	600	300	0
1338	500	0	0
1341	500	0	0
1461	800	200	0
96	600	200	0
324	500	200	0
357	600	200	0
364	600	0	0
385	900	0	0
532	500	0	0
24	900	0	0
391	600	300	0
469	500	300	0
520	600	100	0
736	700	0	1
804	400	0	0
906	800	300	0
909	700	100	0
931	600	200	1
1698	500	200	1
1709	500	200	1
1885	800	100	0
1991	600	100	0
